//Section   Type   OptionIndex1   OptionValue1   OptionIndex2   OptionValue2
0	    22	   2	          -1              1              -1
0	    23	   2	          -1              1              -1
0	    35	   2	          -1              1              -1
2	    14	   2	          -1              1              -1
4	    21	   2	          -1              1              -1
5	    12	   2	          -1              1              -1
5	    19	   2	          -1              1              -1
7	    29	   8	          -1              3              -1
7	    30	   8	          -1              3              -1
7	    31	   8	          -1              3              -1
7	    33	   8	          -1              3              -1
7	    43	   8	          -1              3              -1
7	    73	   8	          -1              3              -1
7	    54	   8		  -1		  3              -1
7	    55	   8		  -1		  3              -1
7	    56	   8		  -1		  3              -1
7	    57	   8		  -1		  3              -1
7	    58	   8		  -1		  3              -1
7	    59	   8		  -1		  3              -1
7	    60	   8		  -1		  3              -1
7	    61	   8		  -1		  3              -1
7	    62	   8		  -1		  3              -1
7	    63	   8		  -1		  3              -1
7	    64	   8		  -1		  3              -1
7	    65	   8		  -1		  3              -1
7	    66	   8		  -1		  3              -1
8	    29	   7	          -1              3              -1
8	    30	   7	          -1              3              -1
8	    31	   7	          -1              3              -1
8	    32	   7	          -1              3              -1
8	    33	   7	          -1              3              -1
8	    43	   7	          -1              3              -1
8	    73	   7	          -1              3              -1
8	    54	   7	          -1              3              -1
8	    55	   7	          -1              3              -1
8	    56	   7	          -1              3              -1
8	    57	   7	          -1              3              -1
8	    58	   7	          -1              3              -1
8	    59	   7	          -1              3              -1
8	    60	   7	          -1              3              -1
8	    61	   7	          -1              3              -1
8	    62	   7	          -1              3              -1
8	    63	   7	          -1              3              -1
8	    64	   7	          -1              3              -1
8	    65	   7	          -1              3              -1
8	    66	   7	          -1              3              -1
9	    29	   4	          -1              3              -1
9	    30	   4	          -1              3              -1
9	    31	   4	          -1              3              -1
9	    32	   4	          -1              3              -1
9	    33	   4	          -1              3              -1
9	    43	   4	          -1              3              -1
9	    73	   4	          -1              3              -1
9	    54	   4	          -1              3              -1
9	    55	   4	          -1              3              -1
9	    56	   4	          -1              3              -1
9	    57	   4	          -1              3              -1
9	    58	   4	          -1              3              -1
9	    59	   4	          -1              3              -1
9	    60	   4	          -1              3              -1
9	    61	   4	          -1              3              -1
9	    62	   4	          -1              3              -1
9	    63	   4	          -1              3              -1
9	    64	   4	          -1              3              -1
9	    65     4	          -1              3              -1
9	    66     4	          -1              3              -1
10	    29	   5	          -1              3              -1
10	    30	   5	          -1              3              -1
10	    31	   5	          -1              3              -1
10	    32	   5	          -1              3              -1
10	    33	   5	          -1              3              -1
10	    43	   5	          -1              3              -1
10	    54	   5	          -1              3              -1
10	    55	   5	          -1              3              -1
10	    56	   5	          -1              3              -1
10	    57	   5	          -1              3              -1
10	    58	   5	          -1              3              -1
10	    59	   5	          -1              3              -1
10	    60	   5	          -1              3              -1
10	    61	   5	          -1              3              -1
10	    62	   5	          -1              3              -1
10	    63	   5	          -1              3              -1
10	    64	   5	          -1              3              -1
10	    65	   5	          -1              3              -1
10	    66	   5	          -1              3              -1
11	    29	   6	          -1              3              -1
11	    30	   6	          -1              3              -1
11	    31	   6	          -1              3              -1
11	    32	   6	          -1              3              -1
11	    33	   6	          -1              3              -1
11	    43	   6	          -1              3              -1
11	    73	   6	          -1              3              -1
11	    54	   6	          -1              3              -1
11	    55	   6	          -1              3              -1
11	    56	   6	          -1              3              -1
11	    57	   6	          -1              3              -1
11	    58	   6	          -1              3              -1
11	    59	   6	          -1              3              -1
11	    60	   6	          -1              3              -1
11	    61	   6	          -1              3              -1
11	    62	   6	          -1              3              -1
11	    63	   6	          -1              3              -1
11	    64	   6	          -1              3              -1
11	    65	   6	          -1              3              -1
11	    66	   6	          -1              3              -1
end
