//==============================================================================================================================||
// -- [>] Eo the Craftman													||
//==============================================================================================================================||
//																||
// [1]			: Item Section								[0 - 15]			||
// [2]			: Item Index								[0 - 512]			||
// [3]			: Item Level								[0 - 15]			||
// [4]			: Item Durabilidade							[0 - 255]			||
// [5]			: Item Add Skill											||
// [6]			: Item Add Luck												||
// [7]			: Item Add Option Life							[0 - 7]				||
// [8]			: Item Add Excellent							[1, 2, 4, 8, 16, 32]		||
// [9]			: Item Add Ancient							[0 - 4]				||
// [10]			: Item Add Ex380											||
// [11]			: Item Slot Socket 1							[0 - 255][-1 Desativa]		||
// [12]			: Item Slot Socket 2							[0 - 255][-1 Desativa]		||
// [13]			: Item Slot Socket 3							[0 - 255][-1 Desativa]		||
// [14]			: Item Slot Socket 4							[0 - 255][-1 Desativa]		||
// [15]			: Item Slot Socket 5							[0 - 255][-1 Desativa]		||
//																||
//------------------------------------------------------------------------------------------------------------------------------||
//	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	||
//------------------------------------------------------------------------------------------------------------------------------||
	7	13	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	8	13	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	9	13	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	10	13	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	11	13	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	7	14	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	8	14	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	9	14	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	10	14	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	11	14	3	0	0	1	1	0	0	0	-1	-1	-1	-1	-1
	4	8	1	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
	4	9	3	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
	4	0	0	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
	4	1	0	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
	4	2	2	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
	4	3	3	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
	4	11	3	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
	4	4	3	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
	4	10	3	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
	6	3	3	0	1	1	1	0	0	0	-1	-1	-1	-1	-1
end

