//==============================================================================================================================||
// -- [>] Stadium Guard														||
//==============================================================================================================================||
//																||
// [1]			: Item Section								[0 - 15]			||
// [2]			: Item Index								[0 - 512]			||
// [3]			: Item Level								[0 - 15]			||
// [4]			: Item Durabilidade							[0 - 255]			||
// [5]			: Item Add Skill											||
// [6]			: Item Add Luck												||
// [7]			: Item Add Option Life							[0 - 7]				||
// [8]			: Item Add Excellent							[1, 2, 4, 8, 16, 32]		||
// [9]			: Item Add Ancient							[0 - 4]				||
// [10]			: Item Add Ex380											||
// [11]			: Item Slot Socket 1							[0 - 255][-1 Desativa]		||
// [12]			: Item Slot Socket 2							[0 - 255][-1 Desativa]		||
// [13]			: Item Slot Socket 3							[0 - 255][-1 Desativa]		||
// [14]			: Item Slot Socket 4							[0 - 255][-1 Desativa]		||
// [15]			: Item Slot Socket 5							[0 - 255][-1 Desativa]		||
//																||
//------------------------------------------------------------------------------------------------------------------------------||
//	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	||
//------------------------------------------------------------------------------------------------------------------------------||
	14	0	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	1	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	2	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	3	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	4	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	5	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	6	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	8	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	0	0	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	1	0	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	2	0	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	3	0	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	4	0	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	5	0	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	6	0	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	8	0	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	0	1	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	1	1	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	2	1	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	3	1	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	0	1	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	1	1	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	2	1	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	3	1	3	0	0	0	0	0	0	-1	-1	-1	-1	-1
	4	7	0	255	0	0	0	0	0	0	-1	-1	-1	-1	-1
	4	7	1	255	0	0	0	0	0	0	-1	-1	-1	-1	-1
	4	7	2	255	0	0	0	0	0	0	-1	-1	-1	-1	-1
	4	7	3	255	0	0	0	0	0	0	-1	-1	-1	-1	-1
	4	15	0	255	0	0	0	0	0	0	-1	-1	-1	-1	-1
	4	15	1	255	0	0	0	0	0	0	-1	-1	-1	-1	-1
	4	15	2	255	0	0	0	0	0	0	-1	-1	-1	-1	-1
	4	15	3	255	0	0	0	0	0	0	-1	-1	-1	-1	-1
	13	7	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	13	7	1	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	14	10	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
	13	29	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1
end
