[20:02:52] [CashShopManager][admin][Admin] Buy Item: Dragon Helm, Price: 10, Duration: 0, Serial: 2 [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:02:55] [CashShopManager][admin][Admin] Buy Item: Dragon Armor, Price: 10, Duration: 0, Serial: 3 [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:02:58] [CashShopManager][admin][Admin] Buy Item: Dragon Pants, Price: 10, Duration: 0, Serial: 4 [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:03:01] [CashShopManager][admin][Admin] Buy Item: Dragon Gloves, Price: 10, Duration: 0, Serial: 5 [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:03:03] [CashShopManager][admin][Admin] Buy Item: Dragon Boots, Price: 10, Duration: 0, Serial: 6 [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:03:13] [CashShopManager][admin][Admin] Buy Item: Rune Blade, Price: 60, Duration: 0, Serial: 7 [Level: 0, Dur: 255, Opt1: 1, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:03:21] [CashShopManager][admin][Admin] Buy Item: Lightning Sword, Price: 60, Duration: 0, Serial: 8 [Level: 0, Dur: 255, Opt1: 1, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:03:23] [CashShopManager][admin][Admin] Buy Item: Lightning Sword, Price: 60, Duration: 0, Serial: 9 [Level: 0, Dur: 255, Opt1: 1, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:08:55] [CashShopManager][admin][Admin] Buy Item: Scale Helm, Price: 10, Duration: 0, Serial: A [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:09:01] [CashShopManager][admin][Admin] Buy Item: Scale Armor, Price: 10, Duration: 0, Serial: B [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:09:03] [CashShopManager][admin][Admin] Buy Item: Scale Pants, Price: 10, Duration: 0, Serial: C [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:09:06] [CashShopManager][admin][Admin] Buy Item: Scale Gloves, Price: 10, Duration: 0, Serial: D [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:09:09] [CashShopManager][admin][Admin] Buy Item: Scale Boots, Price: 10, Duration: 0, Serial: E [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:09:19] [CashShopManager][admin][Admin] Buy Item: Beuroba, Price: 60, Duration: 0, Serial: F [Level: 0, Dur: 255, Opt1: 1, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:09:25] [CashShopManager][admin][Admin] Buy Item: Wings of Dragon, Price: 50, Duration: 0, Serial: 10 [Level: 0, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:09:44] [CashShopManager][admin][Admin] Buy Item: Blade, Price: 60, Duration: 0, Serial: 11 [Level: 0, Dur: 255, Opt1: 1, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[20:09:45] [CashShopManager][admin][Admin] Buy Item: Blade, Price: 60, Duration: 0, Serial: 12 [Level: 0, Dur: 255, Opt1: 1, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
