[Reset Manager] Reset file was loaded successfully!
[GX HELPER ATTACK] File loaded successfully!
[Notice System] #2 Fail on load notice: 10
[Notice System] #2 Fail on load notice: 11
[Notice System] #2 Fail on load notice: 12
[Notice System] #2 Fail on load notice: 13
[Notice System] #2 Fail on load notice: 14
[Notice System] #2 Fail on load notice: 15
[Notice System] #2 Fail on load notice: 16
[Notice System] #2 Fail on load notice: 17
[Notice System] File loaded successfullly!
[CashShopManager] File loaded Sucessfully!
[CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6710, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6711, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6712, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6713, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6714, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 0, Lvl: 0, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 50]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 1, Lvl: 0, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 2, Lvl: 0, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 3, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 4, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 5, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 6, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 7, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 8, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 9, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 10, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 11, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 12, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 13, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 14, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 15, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 16, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 17, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 18, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 19, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 20, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 31, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 512, Lvl: 0, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 513, Lvl: 0, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 514, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 515, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 516, Lvl: 0, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 517, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 518, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 519, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 520, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 1024, Lvl: 0, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 1025, Lvl: 0, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 1026, Lvl: 0, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
