[00:07:12] [Reset Manager] Reset file was loaded successfully!
[00:07:12] [GX HELPER ATTACK] File loaded successfully!
[00:07:12] [Notice System] #2 Fail on load notice: 10
[00:07:12] [Notice System] #2 Fail on load notice: 11
[00:07:12] [Notice System] #2 Fail on load notice: 12
[00:07:12] [Notice System] #2 Fail on load notice: 13
[00:07:12] [Notice System] #2 Fail on load notice: 14
[00:07:12] [Notice System] #2 Fail on load notice: 15
[00:07:12] [Notice System] #2 Fail on load notice: 16
[00:07:12] [Notice System] #2 Fail on load notice: 17
[00:07:12] [Notice System] File loaded successfullly!
[00:07:12] [CashShopManager] File loaded Sucessfully!
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 7241, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 7242, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 7243, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 7244, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 7245, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 7272, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6718, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6719, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6699, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6700, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6701, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 7259, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6710, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6711, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6712, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6713, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 0] Add Item [Index: 6714, Lvl: 0, Opt1: 0, Opt2: 0, Opt3: 0, Exc:0, Anc: 0, Price: 2]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 0, Lvl: 15, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 50]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 1, Lvl: 15, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 2, Lvl: 15, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 3, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 4, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 5, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 6, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 7, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 8, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 9, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 10, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 11, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 12, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 13, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 14, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 15, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 16, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 17, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 18, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 19, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 20, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 31, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 512, Lvl: 15, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 513, Lvl: 15, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 514, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 515, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 516, Lvl: 15, Opt1: 0, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 517, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 518, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
[00:07:12] [CashShopManager][ItemList][Coin: 0,  Category: 1] Add Item [Index: 519, Lvl: 15, Opt1: 1, Opt2: 1, Opt3: 0, Exc:63, Anc: 0, Price: 60]
